file_name,Country,Date of the conclusion of the contract,Description,Duration,Estimated value excluding VAT,Lot,Non-winning tenderers,Review organisation,Start date,Title,Value of the tender,CPV,Winner,final_value
111063-2025.html,Spain,,"Award of the Contract Based on the Health Corporation of Maresme i La Selva, derived from the Framework Agreement for the Supply of MedicationADALIMUMABprocessed by the Consorci de Salut i d’Atenció Social de Catalunya",,"973 236,00 EUR",,,,,"Award of the Contract Based on the Framework Agreement for the Supply of MedicationADALIMUMAB, of the Corporació de Salut del Maresme i La Selva","*973 236,00 EUR",33690000,,973236.0 EUR
15498-2025.html,Germany,,Reference is made to the respective order announcement for the individual open house procedures.,,"1,00 EUR",LOT-0001,,"Federal Public Procurement Chambers at the Federal Cartel Office, Villemombler Straße 76, Bonn, 53123, Germany, Fax: +49 2289499163, or the relevant local social court (see Section 57 SGG)",,See the “General Information” field,"*1,00 EUR",33600000,,1.0 EUR
357325-2024.html,Spain,,Adalimumab20 MG - Vial/Prefilled Syringe/Pen,,"121 888,80 EUR",LOT-0001,,General Directorate of Economic Resources of the Canarian Health Service - Administrative Court of Public Procurement of the Autonomous Community of the Canary Islands,,Adalimumab20 MG,"*121 888,80 EUR",33690000,,121888.8 EUR
357325-2024.html,Spain,,Adalimumab40 mg - Vial/Pre-filled syringe/Pen,,"37 830 672,00 EUR",LOT-0002,,General Directorate of Economic Resources of the Canarian Health Service - Administrative Court of Public Procurement of the Autonomous Community of the Canary Islands,,Adalimumab40 mg,"*37 830 672,00 EUR",33690000,,37830672.0 EUR
357325-2024.html,Spain,,Adalimumab80 mg - Vial/Prefilled Syringe/Pen,,"1 390 435,20 EUR",LOT-0003,,General Directorate of Economic Resources of the Canarian Health Service - Administrative Court of Public Procurement of the Autonomous Community of the Canary Islands,,Adalimumab 80 mg,"*1 390 435,20 EUR",33690000,,1390435.2 EUR
56913-2025.html,,02/07/2024,,,,, | Official name: Salus International Sp. z o.o.,,,Gentamicinum sponge Ganciclovirum Buprenorphinum and Opipramolum Bendamustine Psychotropic drugs Micafungin Anidulafungina Ranibizumab Fondaparinux Albuminum humanum ARSENIC TRIOXIDE Cefuroxime AzacitidineAdalimumabCeftazidimum Standardized insect venom Cefazolinum Netupitant + Palonosetron Tenofovir Intravesical BCG vaccine Ciprofloxacin hydrochloride Filgrastimum Omepraz,"1 838,20 PLN",,Asclepios S.A.,1838.2 PLN
56913-2025.html,,02/07/2024,,,,,,,,Gentamicinum sponge Ganciclovirum Buprenorphinum and Opipramolum Bendamustine Psychotropic drugs Micafungin Anidulafungina Ranibizumab Fondaparinux Albuminum humanum ARSENIC TRIOXIDE Cefuroxime AzacitidineAdalimumabCeftazidimum Standardized insect venom Cefazolinum Netupitant + Palonosetron Tenofovir Intravesical BCG vaccine Ciprofloxacin hydrochloride Filgrastimum Omepraz,"1 267,80 PLN",,Asclepios S.A.,1267.8 PLN
691992-2025.html,Poland,,"Delivery of medicinal products for drug programs for patients of the Specialist Hospital in Zabrze Sp. z o. o.; Case No. DZP/19 PN/2025 The subject of the order was divided into 13 Packages, i.e.: • Package 1 RISANKIZUMAB program B47 • Package 2 LEBRIKIZUMABUM program B124 • Package 3 OMALIZUMAB program B107 • Package 4 IKSEKIZUMAB program B47 • Package 5 TRALOKINUMAB program B124 • Package 6 BOSENTANUM program B31 • Package 7 BIMEKIZUMAB program B47 • Package 8 SILDENAFIL program B31 • Package 9 SELEKSYPAG program B31 • Package 10 CERTOLIZUMAB program B47 • Package 11 DUPILUMAB program B124 • Package 12 TILDRAKIZUMAB program B47 • Package 13ADALIMUMAB program B47 A detailed description of the subject of the order is attached as Annex No. 3 to SWZ – Assortment and price form.",,"13 230 869,00 PLN",,,,,Delivery of medicinal products for drug programs for patients of the Specialist Hospital in Zabrze Sp. z o. o.; Case No. DZP/19 PN/2025,"*13 230 869,00 PLN",33690000,,13230869.0 PLN
691992-2025.html,Poland,,"Pakiet 13ADALIMUMABprogram B47. Szczegółowy opis przedmiotu zamówienia stanowi załącznik nr 3 – formularz asortymentowo-cenowy. Zgodnie z Rozdziałem III pkt. 3. SWZ: Warunki przedmiotowe wymagane od Wykonawców - Wykonawcy składający ofertę w postępowaniu oświadczają, że zobowiązują się do przestrzegania poniższych wymagań: 1) Zaoferują produkty lecznicze, które spełniają wymagania określone w Ustawie z dnia 6 września 2001 r. Prawo Farmaceutyczne (Dz.U.2025.750 t.j. z dnia 2025.06.06), zgodne z opisem przedmiotu zamówienia zawartym w Formularzach asortymentowo-cenowych stanowiących załącznik nr 3 do SWZ. 2) Wykonawca posiada dokumenty potwierdzające, że produkty wymienione w załączniku nr 3 do SWZ są zarejestrowane w Urzędzie Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych zgodnie z wymaganiami ustawy z dnia 06.09.2001r. Prawo Farmaceutyczne (Dz.U.2025.750 t.j. z dnia 2025.06.06). 3) Dla leków we wszystkich Pakietach nr 1 – 13, Zamawiający wymaga ważnego zezwolenie GIF na prowadzenie obrotu produktami leczniczymi 4) W Pakietach 1-13 znajdują się leki biologiczne do programów lekowych Zamawiający wymaga aby leki były dopuszczone do stosowania i refundowane w programach lekowych Obecnie są to: 03.0000.331.02 (B31) Leczenie tętniczego nadciśnienia płucnego 03.0000.347.02 (B47) Leczenie umiarkowanej i ciężkiej postaci łuszczycy plackowatej 03.0000.424.02 (B.124) Leczenie chorych z ciężką postacią atopowego zapalenia skóry 03.0000.407.02 (B 107) Leczenie przewlekłej pokrzywki spontaniczne Zamawiający ponadto wymaga aby: A) Cały asortyment stanowiły produkty lecznicze B) Wykonawca podpisze aneksy do umów jeżeli refundacja przez okres obowiązywania umowy ulegnie zmianie na produkty (o tej samej nazwie międzynarodowej) które będą objęte taką refundacją C) Cena leku w przypadku leku objętego ceną urzędową w ciągu całego okresu trwania umowy musi być zgodna z aktualną ceną urzędową danego leku na dzień realizacji zamówienia, w przypadku zmiany zasad finansowania zakupu leków przez NFZ obniżający ceny lub obniżenia ceny urzędowej leku poniżej ceny wynikającej z oferty Wykonawcy podpiszą aneks na czas ich obowiązywania, po tym okresie cena powróci do ceny wynikającej z pierwotnej oferty przetargowej Wykonawcy, która dla Zamawiającego każdorazowo jest cena maksymalną. D) Transport produktu odbywać się będzie do miejsca wskazanego przez Zamawiającego zgodnie z wymogami przewidzianymi w CHPL-u produktów leczniczych E) Wykonawca dostarczy do oferty Charakterystykę Produktu Leczniczego (CHPL) lub jego równoważne tłumaczenie na język polski (PAKIETY 1-13) 5) Wykonawca zapewni na swój koszt i ryzyko transport produktów leczniczych do miejsca wskazanego przez Zamawiającego. Transport wszystkich produktów leczniczych odbywał się będzie zgodnie z wymogami przewidzianymi w aktualnych dokumentach potwierdzających dopuszczenie przedmiotu zamówienia do obrotu i używania zgodnie z Ustawą z dnia 6 września 2001 r. Prawo Farmaceutyczne (Dz.U.2025.750 t.j. z dnia 2025.06.06). Zamawiający ma prawo do skontrolowania środka transportu, którym przewożone są produkty lecznicze pod kątem obecności zapisu temperatury panującej w komorze transportowej, obecności podestów, na których przewożone są pudełka z produktami leczniczymi. W przypadku niespełnienia wymogów transportu przewidzianych w aktualnych dokumentach potwierdzających dopuszczenie przedmiotu zamówienia do obrotu przewidzianych Ustawą z dnia 06.09.2001 r. Prawo Farmaceutyczne (Dz.U.2025.750 t.j. z dnia 2025.06.06), Zamawiający ma prawo odmówić ich odbioru i poinformować o zaistniałym fakcie Wykonawcę. Wykonawca zapewnia transport dostosowany do infrastruktury Zamawiającego. Transport wszystkich produktów leczniczych będzie odbywał się odpowiednimi środkami transportu, gwarantującymi utrzymanie prawidłowej temperatury dla przewożonych produktów leczniczych i wyrobów medycznych posiadającymi możliwości ogrzewania lub chłodzenia przewożonego asortymentu i zachowania zasad GMP, jeżeli dotyczy. 6) Zaoferują produkty z datą ważności co najmniej 12 miesięcy od daty dostawy. 7) W czasie trwania umowy Zamawiający ma prawo do wezwania Wykonawcy w celu przedstawienia aktualnych dokumentów dopuszczenia do obrotu, karty charakterystyki, ulotki - w języku polskim. 8) Zaoferują termin płatności 30 dni od dnia dostarczenia Zamawiającemu prawidłowo wystawionej faktury VAT. 9) Podpiszą umowę, której wzór stanowi Załącznik nr 4 do SWZ. 10) Zaoferują maksymalny czas realizacji zamówień „cito”: 12 godzin, a w normalnym trybie do 48 godzin od złożenia zamówienia, bez względu na wartość złożonego zamówienia. a) W przypadku dostaw w trybie „na cito”, w sytuacji, gdy termin dostawy wypada w sobotę lub w innym dniu ustawowo wolnym od pracy lub poza godzinami pracy Zamawiającego, dostawa nastąpi w umówionym czasie realizacji tj. maksymalnie 12 godzin od złożenia zamówienia do miejsca wskazanego przez Zamawiającego. b) W przypadku zamówień w normalnym trybie, których termin realizacji przypada w sobotę lub w dniu ustawowo wolnym od pracy termin realizacji upływa w pierwszym dniu roboczym po terminie wyznaczonym powyżej jednak nie później niż do godziny 14.00 tego dnia. 11) Zamawiający wymaga, aby Wykonawca nie zmieniał wielkości opakowań określonych w Załączniku nr 3 do SWZ - Formularzu asortymentowo-cenowym bez uprzedniej pisemnej akceptacji przez Zamawiającego zapytania Wykonawcy, ze wskazaniem nr Pakietu i pozycji, nazwy produktu i uzasadnienia zamiany. 12) Cena leku w przypadku leku objętego ceną urzędową w ciągu całego okresu trwania umowy musi być zgodna z aktualną ceną urzędową danego leku na dzień realizacji zamówienia. W przypadku leków refundowanych ich ceny spełniają wytyczne określone w art. 9 ust. 1 i ust. 2 ustawy z dnia 12 maja 2011 r. o refundacji leków, środków spożywczych specjalnego przeznaczenia żywieniowego oraz wyrobów medycznych (Dz.U.2025.907 t.j. z dnia 2025.07.08)",9 Months,"330 000,00 PLN",LOT-0014,,Krajowa Izba Odwoławcza,01/04/2026,Pakiet 13ADALIMUMABprogram B47,"*330 000,00 PLN",33600000,,330000.0 PLN
614300-2024.html,,26/09/2024,,,,,,,,"Conclusion of non-exclusive discount agreements in accordance with Section 130a Paragraph 8 SGB V for medicines with the active ingredient Adalimumab for the period from November 1st, 2024 to June 30th, 2025","221 000,00 EUR",,Biocon Biologics Germany GmbH,221000.0 EUR
