tender_id,publication_date,issuing_authority_name,issuing_authority_type,issuing_authority_website,issuing_authority_phone,issuing_authority_fax,issuing_authority_email,tender_title,estimated_contract_value,cpv_classification,contract_duration,winning_company,winning_company_nif,final_contract_value,motivation,contract_value_raw_EUR
51/F/24/SU/GE/D/0302-1,21-10-2024,Address Management University Hospital of Gran Canaria Doctor Negrín,Regional authority,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Supply of the active ingredients adalimumab, rituximab and trastuzumab","150.457,5 EUR.",33690000,Del 01/02/2023,Sandoz Farmaceutica,A08233801,"150.457,5 EUR",According to the Pharmacy Service Report,150457.5
51/F/24/SU/GE/D/0305,29-10-2024,Address Management University Hospital of Gran Canaria Doctor Negrín,Regional authority,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Contract based on the framework agreement for the supply of the active ingredients ADALIMUMAB, RITUXIMAB and TRASTUZUMAB",200.640 EUR.,33690000,Del 01/11/2024,"ABBVIE SPAIN, S.L.U.",B86418787,200.640 EUR,according to the technical report,200640.0
23/S/19/SU/DG/A/AM008,14-06-2019,General Directorate of Economic Resources of the Canarian Health Service,,http://www.gobiernodecanarias.org/sanidad,,,,"Supply of the active ingredients Adalimumab, Trastuzumab and Rituximab to the Canary Islands Health Service","55.418.461,08 EUR.",33690000,2 Year(s),,,,,55418461.08
2019/026161,04-02-2020,Management of the Guadalajara Integrated Care Area,Autonomous Community,http://contratacion.castillalamancha.es/,949209212,949209245,eserrano@sescam.org,PNSP 10/2019 Acquisition of the active ingredients Palivizumab and Adalimumab (Abbvie Spain SLU)-61034000GU19SUM00009,"518.713,79 EUR.",33600000,24 Month(s),"ABBVIE FARMACEUTICA, S.L.U.",B86418787,"518.713,79 EUR",Awarded to the offer with the best quality-price ratio,518713.79
906/2024HCD,13-11-2024,General Defense Health Inspection,State authority,,914222936,914222936,contratacion.igesan@mde.es,ta2025 supply of hyrimoz adalimumab biosimilar - hcd l1 derived from a.m. 2021/064 ingesa (01-01-2025 until 12-15-2025),"86.538,46 EUR.",33690000,Del 31/10/2024,SANDOZ FARMACEUTICA S.A.,A08233801,"86.538,46 EUR",contract based on a framework agreement,86538.46
907/2024HCD,13-12-2024,General Defense Health Inspection,State authority,,914222936,914222936,contratacion.igesan@mde.es,ta2025 supply of imraldi adalimumab biosimilar - hcd l1 derived from a.m. 2021/064 ingesa (01-01-2025 until 12-15-2025),"67.307,69 EUR.",33600000,Del 06/11/2024,"BIOGEN SPAIN, SL",B83086736,"67.307,69 EUR",contract based on a framework agreement,67307.69
HV BASADO AM 2021/064 A08130502,04-05-2023,Cantabrian Health Service,Autonomous Community,http://www.scsalud.es,+34 942202769,+34 942202639,contratacion.dg@scsalud.es,In,"22.078,8 EUR.","33100000, 33140000",Del 03/05/2023,"Fresenius Medical Care España, S.A.",A08130502,"22.078,8 EUR",Bidder with the best offer in relation to quality and price in the opinion of the contracting body LCSP 9/2017,22078.8
SSCC PD 62/25,13-03-2025,Health Service of the Balearic Islands,Regional authority,http://www.ibsalut.es,+034 971175600,,departamentocontratacion@ibsalut.es,Supply of biosimilars derived from AM 2021/64 lot 1Adalimumab,"480.733,2 EUR.",33600000,,Sandoz Farmaceutica,A08233801,"480.733,2 EUR",resolution,480733.2
SSCC PD 137/25,10-06-2025,Health Service of the Balearic Islands,Regional authority,http://www.ibsalut.es,+034 971175600,,departamentocontratacion@ibsalut.es,Supply of biosimilars derived from AM 2021/64 lot 1Adalimumab,"1.294.353,6 EUR.",33600000,8 Month(s),Sandoz Farmaceutica,A08233801,"1.294.353,6 EUR",approval and award resolution,1294353.6
SS CC PD 18/23,12-06-2023,Health Service of the Balearic Islands,Autonomous Community,http://www.ibsalut.es,,,departamentocontratacion@ibsalut.es,Supply of similar biological medications derived from AM 2021/64 Lot 1 – Adalimumab,2.278.944 EUR.,"33000000, 33600000",Del 02/02/2023,"Sandoz Farmacéutica, S.A",A08233801,2.278.944 EUR,resolution,2278944.0
SS CC PD 333/24,16-12-2024,Health Service of the Balearic Islands,Regional authority,http://www.ibsalut.es,+034 971175600,,departamentocontratacion@ibsalut.es,Supply of biosimilars derived from AM 2021/64 lot 1,478.470 EUR.,33600000,Del 01/01/2025,Sandoz Farmaceutica,A08233801,478.470 EUR,resolution,478470.0
